betweeness_centrality,[11 16 13  6]
76,"[tensor(0.0055, device='cuda:7'), tensor(0.0051, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0043, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7')]"
77,"[tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0052, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0048, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0051, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7')]"
78,"[tensor(0.0054, device='cuda:7'), tensor(0.0050, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0043, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7')]"
79,"[tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0051, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0048, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0051, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7')]"
80,"[tensor(0.0054, device='cuda:7'), tensor(0.0049, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0043, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7')]"
81,"[tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0050, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0048, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0050, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0043, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7')]"
82,"[tensor(0.0053, device='cuda:7'), tensor(0.0049, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0043, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7')]"
83,"[tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0050, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0049, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0050, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0043, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7')]"
84,"[tensor(0.0052, device='cuda:7'), tensor(0.0049, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0043, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7')]"
85,"[tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0050, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0049, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0050, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0043, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7')]"
86,"[tensor(0.0052, device='cuda:7'), tensor(0.0049, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0043, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0043, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7')]"
87,"[tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0050, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0049, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0049, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0043, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7')]"
88,"[tensor(0.0052, device='cuda:7'), tensor(0.0049, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0043, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7')]"
89,"[tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0050, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0049, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0049, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0043, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7')]"
90,"[tensor(0.0052, device='cuda:7'), tensor(0.0049, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0043, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
91,"[tensor(0.0047, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0050, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0049, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0049, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0043, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7')]"
92,"[tensor(0.0052, device='cuda:7'), tensor(0.0049, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0043, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
93,"[tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0050, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0049, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0050, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0043, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7')]"
94,"[tensor(0.0053, device='cuda:7'), tensor(0.0049, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0047, device='cuda:7'), tensor(0.0043, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
95,"[tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0050, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0049, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0050, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0043, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7')]"
96,"[tensor(0.0053, device='cuda:7'), tensor(0.0049, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0043, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
97,"[tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0051, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0049, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0050, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0043, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7')]"
98,"[tensor(0.0053, device='cuda:7'), tensor(0.0050, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0043, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7')]"
99,"[tensor(0.0046, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0051, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0049, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0050, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0043, device='cuda:7'), tensor(0.0045, device='cuda:7'), tensor(0.0046, device='cuda:7'), tensor(0.0044, device='cuda:7'), tensor(0.0044, device='cuda:7')]"
