betweeness_centrality,[ 3 10  6 11]
76,"[tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0263, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0163, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0212, device='cuda:0'), tensor(0.0231, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0')]"
77,"[tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0196, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0204, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0300, device='cuda:0'), tensor(0.0200, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0053, device='cuda:0'), tensor(0.0045, device='cuda:0')]"
78,"[tensor(0.0048, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0254, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0175, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0257, device='cuda:0'), tensor(0.0265, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0')]"
79,"[tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0208, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0182, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0296, device='cuda:0'), tensor(0.0177, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0055, device='cuda:0'), tensor(0.0045, device='cuda:0')]"
80,"[tensor(0.0050, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0236, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0186, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0277, device='cuda:0'), tensor(0.0311, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0048, device='cuda:0')]"
81,"[tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0226, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0173, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0310, device='cuda:0'), tensor(0.0156, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0057, device='cuda:0'), tensor(0.0045, device='cuda:0')]"
82,"[tensor(0.0050, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0221, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0184, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0282, device='cuda:0'), tensor(0.0360, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0049, device='cuda:0')]"
83,"[tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0231, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0189, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0319, device='cuda:0'), tensor(0.0138, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0054, device='cuda:0'), tensor(0.0045, device='cuda:0')]"
84,"[tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0234, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0176, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0265, device='cuda:0'), tensor(0.0373, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0049, device='cuda:0')]"
85,"[tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0218, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0278, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0305, device='cuda:0'), tensor(0.0133, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0051, device='cuda:0'), tensor(0.0045, device='cuda:0')]"
86,"[tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0276, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0106, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0269, device='cuda:0'), tensor(0.0366, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0049, device='cuda:0')]"
87,"[tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0194, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0424, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0317, device='cuda:0'), tensor(0.0140, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0045, device='cuda:0')]"
88,"[tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0327, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0089, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0281, device='cuda:0'), tensor(0.0381, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0049, device='cuda:0')]"
89,"[tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0201, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0492, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0332, device='cuda:0'), tensor(0.0181, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0044, device='cuda:0')]"
90,"[tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0326, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0076, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0307, device='cuda:0'), tensor(0.0384, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0049, device='cuda:0')]"
91,"[tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0201, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0557, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0331, device='cuda:0'), tensor(0.0235, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0044, device='cuda:0')]"
92,"[tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0347, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0074, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0325, device='cuda:0'), tensor(0.0395, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0049, device='cuda:0')]"
93,"[tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0196, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0596, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0302, device='cuda:0'), tensor(0.0270, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0045, device='cuda:0')]"
94,"[tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0364, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0078, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0382, device='cuda:0'), tensor(0.0423, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0049, device='cuda:0')]"
95,"[tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0186, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0668, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0288, device='cuda:0'), tensor(0.0238, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0050, device='cuda:0'), tensor(0.0045, device='cuda:0')]"
96,"[tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0378, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0086, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0438, device='cuda:0'), tensor(0.0411, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0049, device='cuda:0')]"
97,"[tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0202, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0701, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0261, device='cuda:0'), tensor(0.0258, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0049, device='cuda:0'), tensor(0.0045, device='cuda:0')]"
98,"[tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0395, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0098, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0420, device='cuda:0'), tensor(0.0430, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0049, device='cuda:0')]"
99,"[tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0222, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0694, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0046, device='cuda:0'), tensor(0.0318, device='cuda:0'), tensor(0.0287, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0045, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0044, device='cuda:0'), tensor(0.0047, device='cuda:0'), tensor(0.0048, device='cuda:0'), tensor(0.0045, device='cuda:0')]"
